      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1987 09 30 532.35923      530.52884      515.73233      639.45868      459.38420      570.38239      657.24277      618.95437      649.88341      599.98496      636.15857      408.40098      572.99602      448.12571      583.26644      743.07173      621.44710      445.43340      465.09739      770.58830      625.84944      665.90806      563.52429      633.71533      662.27563      619.76076      432.34685      494.32135      396.66592      706.26263      596.02763      490.51093      353.45608      689.93480      559.25585      541.61197      603.74165      633.54693      625.66260      605.43905      604.76958      517.87494      594.74792      646.41198      641.60135      394.92373      
1988 09 30 517.45136      526.95577      501.60744      626.89939      454.94781      559.07089      643.81595      603.16157      628.12744      585.22953      619.34572      409.63648      579.12916      453.51244      569.24899      719.69566      599.90239      441.66539      455.54405      768.10144      619.38472      666.60512      564.96348      628.86249      675.72765      625.45918      433.51844      497.85880      400.43465      697.70773      602.09560      485.87884      365.39716      667.32142      545.43526      534.94768      596.36873      616.03856      611.78585      589.64190      593.23580      502.99363      578.55320      624.54657      617.60554      387.46715      
1989 09 30 520.94803      538.87059      503.83355      625.09510      451.68822      560.70854      644.22771      600.86479      625.59102      589.10202      619.31315      419.90243      596.16262      467.93086      567.90158      715.00385      599.38802      441.00915      460.89836      792.65767      660.46322      682.42177      587.03314      643.18521      705.31733      633.55290      465.42105      500.68615      400.80302      705.03116      619.30772      501.02683      378.11696      664.48486      564.75798      558.92794      617.25777      612.10905      606.81874      587.74138      596.02003      501.01676      567.72633      619.68455      609.70962      386.70041      
1990 09 30 507.78359      518.18591      486.29474      622.42838      442.21828      551.04414      637.67673      592.38317      616.33908      571.80048      607.07589      391.43178      563.00321      426.85219      559.31970      711.76390      585.27960      417.23901      435.83860      780.58253      622.60548      673.89992      563.31385      634.14303      683.31004      622.59010      414.31314      476.50256      375.48148      700.70446      611.12853      465.28267      332.97113      659.70244      534.90653      531.77448      596.43532      606.82686      606.06020      582.58585      586.81483      489.82507      571.84570      614.07757      612.94008      367.47682      
1991 09 30 516.69371      527.56974      516.86617      641.49626      478.94897      583.66217      664.78961      627.50707      632.49988      590.20726      610.60200      431.92814      647.93097      532.01869      578.25728      722.36572      609.54026      471.36552      476.28897      832.86306      705.87730      714.91729      608.06322      660.14054      766.00597      659.81760      504.75065      530.37265      416.02006      718.46093      648.31688      515.38990      408.85387      669.89907      566.12871      564.81856      625.90154      619.41599      620.81856      597.28507      591.85467      521.86115      578.78389      627.53820      622.14670      416.39827      
1992 09 30 562.77863      570.18202      553.56548      678.19745      494.33524      607.84129      697.77076      658.34235      684.68140      634.69586      667.37855      447.42426      630.71969      494.79807      617.64560      780.29562      655.89895      478.79076      495.97556      841.74436      689.25225      725.69014      614.83421      687.37182      732.52889      673.50628      485.12623      541.18570      436.55810      755.39004      654.67794      532.22877      398.41222      722.70493      599.39779      582.97053      650.74175      664.62737      658.46045      635.00795      639.97940      550.11206      621.82028      679.53257      672.62735      423.97164      
1993 09 30 510.93311      553.24035      551.32551      652.08778      512.20172      600.83596      670.38105      632.21053      622.49698      585.08617      617.46268      430.08574      644.37834      539.55327      553.61715      716.80154      613.77108      492.40558      482.53004      846.22820      727.83108      741.71379      642.80965      683.08108      794.96546      688.99261      531.91517      522.94655      409.43782      732.72875      689.95159      524.43343      419.55707      665.50286      575.53617      589.47309      648.51595      622.11920      622.13142      595.67313      593.68897      529.62640      560.99350      614.46134      602.49638      441.51116      
1994 09 30 503.75277      491.94445      470.53310      604.95104      425.80204      534.10875      620.97917      588.16983      625.08995      575.89213      608.00237      400.77900      550.82022      419.26858      569.04513      716.67722      593.02009      416.63540      443.69234      710.73298      573.21160      610.66093      509.20488      587.38741      592.97025      571.70586      392.91585      491.68480      400.93513      662.77197      537.72177      463.27415      338.58177      661.09599      523.52054      493.35779      558.35067      606.76855      595.54042      580.80961      573.31491      487.78327      576.51586      623.01870      616.76607      365.37190      
1995 09 30 524.78465      527.64541      518.47361      645.29343      467.92108      579.28241      665.83943      627.13182      650.31119      595.10073      624.62096      419.16307      572.84674      471.25633      581.73100      743.51070      626.15692      461.15709      477.87874      791.04103      655.30627      680.61030      568.71966      645.42144      691.26378      626.08897      458.08591      489.14800      395.50610      707.72172      604.19743      501.24971      379.04535      690.43062      567.68150      545.12021      610.00980      633.30321      628.18486      611.10302      597.80415      520.25450      592.93911      645.17503      638.68172      402.72560      
1996 09 30 515.50407      530.45534      518.05853      657.61533      478.99559      587.92173      674.22106      625.07223      631.61826      582.32525      613.97328      403.21803      592.64822      474.83116      569.53447      728.68925      604.98943      445.55607      451.44511      841.95469      700.32004      726.35527      591.69558      668.64392      776.50334      649.99153      457.58355      494.91715      386.30890      727.31433      643.77751      490.83882      344.73616      677.71245      552.21434      551.47441      617.85477      626.95805      627.97820      599.96366      598.02278      512.51883      583.53650      627.55662      623.84484      394.75277      
1997 09 30 515.78574      560.69554      535.00952      647.99951      490.42686      591.00121      665.23533      613.50241      606.82036      575.48970      605.80379      420.20798      649.34859      527.53398      547.48108      694.36496      590.91545      462.92149      462.89301      885.45292      755.92293      763.32213      649.33291      690.79590      852.91463      695.92378      529.60649      519.30510      404.46707      735.44686      706.75201      513.70483      400.01279      654.81197      567.65323      585.59124      647.21945      609.97984      615.67673      586.17916      597.24089      508.63985      552.30791      598.77559      589.38876      404.52819      
1998 09 30 479.65987      484.52513      447.19300      572.71109      402.50209      504.30153      586.06290      551.56862      573.24314      535.15742      567.67844      360.91537      517.93266      383.72788      522.91984      664.19670      545.36355      385.57905      405.36253      720.82063      568.21485      618.75397      525.91363      584.94575      634.71799      567.56967      378.29841      441.72999      350.54642      648.74325      565.66861      430.79115      303.11713      612.66203      500.07964      502.48469      557.77355      563.07637      557.65445      538.65736      552.27209      456.18594      530.26483      571.87209      570.59085      343.07144      
1999 09 30 495.08394      519.64572      510.74730      619.27441      469.09514      565.62478      638.14627      593.55302      592.88640      559.38002      585.98100      405.25872      598.32762      502.11769      534.54814      683.21801      579.00220      452.48303      452.04328      807.11180      689.43630      699.69307      602.07031      642.72119      749.61923      651.13950      494.73074      487.66592      382.47622      699.88889      646.54197      492.28238      385.20190      634.90271      547.06957      557.74734      611.02432      589.72190      591.60026      564.36022      570.13558      492.10192      536.65657      586.28099      580.35069      395.10257      
2000 09 30 509.27358      540.02941      533.83730      650.24722      490.34368      590.14924      666.72839      613.68147      611.03459      569.06827      602.33773      407.94602      611.80169      506.23050      548.33211      703.18426      593.21215      457.23380      457.57553      838.92879      710.16354      724.92259      607.86477      664.17419      789.91164      659.76717      492.04471      499.25877      389.82297      712.74463      658.97474      495.88730      384.73054      659.73586      552.18435      557.96367      618.92789      615.06050      621.25091      589.55671      588.05048      511.36425      560.99199      604.97540      598.76439      406.24656      
2001 09 30 508.67632      532.54356      523.41385      628.92856      477.41237      573.41984      645.57471      603.61357      606.26762      572.44798      601.80089      412.96439      620.06960      515.25203      547.73875      691.28751      590.31687      461.77066      463.06563      790.15814      690.81565      682.18460      596.63915      633.66619      727.28511      638.58851      509.47882      508.84409      403.65724      691.93249      634.98504      505.13776      397.16586      646.07536      554.64323      551.62681      610.36642      602.48070      606.01512      577.29938      580.32274      505.03648      549.46063      598.36016      590.56646      405.63678      
2002 09 30 498.20862      490.04540      466.03905      606.35977      427.73400      533.66590      619.66742      576.87568      602.87335      555.59881      586.40493      384.52453      524.17995      409.39648      549.10525      693.10005      573.12283      413.47529      432.49229      714.34781      570.54533      625.91535      513.87033      592.46264      614.20954      573.69490      385.68958      464.20380      381.11377      657.32252      547.04173      449.29553      322.90671      645.43135      513.61202      497.99561      554.53239      595.03264      593.61925      572.06044      565.70542      479.15384      560.57632      600.37341      599.36146      362.66291      
2003 09 30 517.73102      510.54300      490.26572      621.42587      438.25380      547.50189      636.46500      595.29840      627.64731      577.68936      608.98370      395.13341      536.08848      426.08764      569.29424      716.88833      596.65252      427.05494      448.54624      744.45289      599.21931      644.40149      537.93943      614.27232      640.25787      590.81901      407.59793      471.48763      385.29157      681.84558      573.33300      469.58405      339.44421      667.07958      537.51055      520.06914      582.20066      613.63786      609.23462      587.32713      587.44397      497.00032      580.09267      624.74985      621.50366      373.96710      
2004 09 30 519.97749      518.99815      503.04061      644.97786      464.14465      574.42486      659.77131      607.65657      623.58679      579.56558      609.12600      409.83409      578.96451      464.20476      567.29016      715.14167      597.64213      437.31061      452.44801      772.58483      636.42608      664.56497      556.27661      625.67035      678.16965      612.19720      437.66058      502.87427      400.59115      694.88758      594.50710      478.82037      357.40096      670.04258      543.49386      532.81706      594.18218      621.99467      619.97166      593.11218      592.50825      506.02438      570.58209      619.88817      614.46278      386.66101      
2005 09 30 501.08989      505.33257      483.79265      611.05848      441.18243      543.20834      624.92982      583.74794      602.62758      559.99421      589.90271      395.58570      557.09529      439.67295      547.31348      686.10680      575.98287      425.25357      437.60301      745.79997      602.21046      650.58742      543.36015      611.62571      654.67515      593.44416      416.16736      487.92526      395.85966      674.20989      580.26636      466.72410      345.59989      639.99477      523.19789      518.01173      575.19444      592.80431      591.42571      566.20502      573.81803      487.90046      553.04794      597.93729      594.92696      378.29561      
2006 09 30 522.60828      509.50536      489.25997      636.36898      446.35305      558.51288      650.04737      609.69741      640.74212      588.98722      622.67351      400.04882      553.13295      424.04994      581.34149      731.89316      607.86303      430.05577      448.86223      750.12477      593.00420      646.54826      531.30791      615.37691      632.33884      589.90802      391.11106      494.22911      398.50573      692.76784      567.18874      467.01319      322.76271      679.28458      535.07404      513.57289      580.52115      625.97998      614.46042      595.39589      596.55686      507.91937      594.30438      640.42985      639.27151      383.65035      
