      Years Drainage_1    Drainage_ 2    Drainage_ 3    Drainage_ 4    Drainage_ 6    Drainage_ 7    Drainage_ 9    Drainage_ 11   Drainage_ 13   Drainage_ 15   Drainage_ 16   Drainage_ 17   Drainage_ 19   Drainage_ 21   Drainage_ 23   Drainage_ 25   Drainage_ 26   Drainage_ 27   Drainage_ 29   Drainage_ 31   Drainage_ 33   Drainage_ 36   Drainage_ 38   Drainage_ 39   Drainage_ 41   Drainage_ 42   Drainage_ 44   Drainage_ 45   Drainage_ 46   Drainage_ 48   Drainage_ 49   Drainage_ 51   Drainage_ 52   Drainage_ 54   Drainage_ 56   Drainage_ 57   Drainage_ 59   Drainage_ 61   Drainage_ 63   Drainage_ 64   Drainage_ 66   Drainage_ 67   Drainage_ 69   Drainage_ 71   Drainage_ 73   Drainage_ 75   
1986 09 30 144538.97626   38133.93252    10846.84607    731.99584      2911.73992     0.0000000e+00  0.0000000e+00  177027.64005   224699.97536   23721.62329    7531.15944     32070.78755    0.0000000e+00  0.0000000e+00  53168.20436    9780.82855     94116.73586    4559.83971     1857.57190     6021.33501     831.72715      229559.84476   215340.99590   594967.84457   2399.83326     6017.41666     0.0000000e+00  0.0000000e+00  0.0000000e+00  9617.02412     44666.24847    18626.44744    54.32732       39625.45507    202702.71528   392787.40900   73782.06937    97886.18978    18111.34665    104860.73195   475760.60910   73904.12057    115251.04975   242232.37132   67497.36479    9777.15154     
1987 09 30 115225.96909   37292.86682    9358.52285     765.29713      2562.75394     0.0000000e+00  0.0000000e+00  153230.13092   205116.41648   20183.45175    6221.19270     30313.38438    0.0000000e+00  0.0000000e+00  50166.16408    8112.43997     92034.13704    3869.99717     1478.73218     7408.55767     985.66997      202571.09817   170908.74456   544852.75716   2183.03999     5391.15785     0.0000000e+00  0.0000000e+00  0.0000000e+00  7813.64058     35462.83757    17047.04286    49.65800       41711.05280    183617.32455   312188.03553   68487.89275    90314.57919    17747.73239    86723.03709    431103.13023   64868.08113    97346.18655    246459.44070   57656.31969    7479.24266     
1988 09 30 109800.71660   23079.86499    7503.53180     528.13201      2155.40951     0.0000000e+00  0.0000000e+00  130331.06978   169688.65532   18093.84071    5637.22625     30337.55557    0.0000000e+00  0.0000000e+00  38078.41595    7528.85345     80077.05764    3298.46838     1349.20032     3030.46625     613.73217      149385.26389   142757.78084   428706.32579   1065.67235     4296.57587     0.0000000e+00  0.0000000e+00  0.0000000e+00  6750.45733     24504.14760    15178.80119    52.37690       33232.26678    151537.62410   260420.88740   48397.38710    70454.44071    13969.04802    68732.18868    360007.59871   58189.10882    83563.77874    217279.40095   49082.23216    7387.97607     
1989 09 30 167386.58239   50219.18478    13767.90377    970.99074      3222.81683     0.0000000e+00  0.0000000e+00  212322.76763   269438.78867   27462.80262    7918.72121     33521.11149    0.0000000e+00  0.0000000e+00  74196.30740    11442.55476    123595.28046   5230.27419     2205.96932     11618.84677    1307.45907     239045.53143   221173.52116   631451.35014   3450.41686     6021.31873     0.0000000e+00  0.0000000e+00  0.0000000e+00  10248.67834    49950.08889    22468.20698    51.30046       50754.08595    257761.09367   418193.06964   103305.82766   111587.20483   22390.52054    112210.17331   623669.62681   84785.32717    128770.22385   337425.80658   76491.41368    10711.74768    
1990 09 30 148581.99561   41320.42316    12806.87392    835.32132      2933.41787     0.0000000e+00  0.0000000e+00  184424.81219   262731.53097   24374.34682    7532.88166     34305.14912    0.0000000e+00  0.0000000e+00  59745.24186    10251.82624    117935.16872   4803.22971     2031.69380     8784.61684     1122.89700     231909.04916   200464.34150   616527.32090   2694.95021     5874.21043     0.0000000e+00  0.0000000e+00  0.0000000e+00  9303.36089     43279.57278    20468.69048    51.65306       46738.07385    203821.06145   382460.53002   96471.04468    91974.51742    18594.47465    94929.90258    542441.95121   76927.69598    117772.78302   296706.25485   74394.42147    10428.68258    
1991 09 30 154789.33088   45366.59612    12284.58645    916.73478      3267.51996     0.0000000e+00  0.0000000e+00  184791.31745   260804.42540   25708.93891    7910.19650     30620.07206    0.0000000e+00  0.0000000e+00  62271.68318    9906.63017     116555.79405   5498.70529     2131.40118     8305.73430     1082.70415     229689.92668   193968.06153   596964.74786   2962.63289     5919.85974     0.0000000e+00  0.0000000e+00  0.0000000e+00  9316.68158     41486.10227    23305.37626    55.32797       44521.80857    194333.73339   359555.95540   80854.24829    92580.10739    18542.67611    94201.93002    621699.64755   78163.54947    122574.43612   304983.57748   74928.98629    10786.83128    
1992 09 30 130687.95384   42463.25321    9977.39808     704.94488      2672.29973     0.0000000e+00  0.0000000e+00  171017.00741   227551.91679   21905.15238    6080.96768     31190.35450    0.0000000e+00  0.0000000e+00  56215.55963    8822.22945     103196.05607   4883.69719     1931.62251     6795.74444     902.33023      200429.36667   169511.43980   526962.84532   2244.88962     5276.53728     0.0000000e+00  0.0000000e+00  0.0000000e+00  7701.93924     34842.84092    19471.58734    56.70974       41041.76861    194300.70157   324244.67722   70700.62446    93576.70077    15942.76348    93118.41490    485375.82947   71276.82221    106515.77351   289758.45591   60112.86127    8256.37977     
1993 09 30 121960.57204   30329.68879    9934.58018     692.47242      2355.36686     0.0000000e+00  0.0000000e+00  142578.98016   206779.78209   19932.54607    6409.38238     31250.91653    0.0000000e+00  0.0000000e+00  47133.52011    8517.36869     87389.16688    3432.86266     1482.14051     5031.70341     632.52487      176068.29828   173174.41695   493076.54675   1329.26985     5290.92920     0.0000000e+00  0.0000000e+00  0.0000000e+00  7790.49211     33371.90328    15692.02352    45.78219       35955.30654    176430.13813   329094.31070   59085.76559    87862.95767    15043.01269    86760.90071    425978.93350   64384.99249    98210.49061    265951.90900   59787.04032    7418.33959     
1994 09 30 104988.36350   35989.11926    10814.02601    694.31603      2321.13703     0.0000000e+00  0.0000000e+00  160519.76635   215818.33242   19218.85008    5454.75349     31723.77829    0.0000000e+00  0.0000000e+00  49893.85478    8494.38147     92448.63118    4179.98094     1622.46088     6101.70097     891.99786      162393.98584   145505.20304   459132.66196   2043.53874     4554.92898     0.0000000e+00  0.0000000e+00  0.0000000e+00  6828.62301     28586.29605    19282.18159    51.37271       36936.01591    175439.94079   267213.19795   68351.26965    85131.94641    15945.00382    79449.74680    419380.38333   65875.12660    101293.16442   249526.43598   59883.17842    7899.51850     
1995 09 30 134651.28102   40571.77258    11356.07175    928.97672      3065.68791     0.0000000e+00  0.0000000e+00  164515.02752   225141.69009   22706.20425    7198.33981     32702.55604    0.0000000e+00  0.0000000e+00  56770.77634    8194.65319     102386.16311   4722.83061     1989.52131     8980.90124     1189.11268     218842.39203   206710.38730   580112.62039   2728.78341     5574.86211     0.0000000e+00  0.0000000e+00  0.0000000e+00  9282.33258     41877.44540    22592.33756    53.00146       41835.65738    196145.11802   374211.15648   81511.47246    94105.87969    18883.44940    93135.10620    500448.25892   79862.26568    118512.65433   264736.44012   63036.25528    9630.24099     
